MemberID,MembershipType,FlexAddOn,FSA,AccountOpened,LastVisit,TotalVisits,CanEmail,CanPhone,TotalSales
1,Family,0,N2A,2019-08-27,2020-03-04,5,YES,YES,150
2,Family,0,N2A,2013-11-23,2016-03-30,6,YES,YES,1122.99
3,Teacher,0,NULL,2019-12-31,2019-12-31,1,YES,NO,0
4,Student,0,N2E,2013-07-10,2014-01-04,1,NO,YES,8.59
5,Dual,0,N2J,2020-01-11,2020-01-25,2,YES,YES,80
6,Teacher,0,NULL,2016-08-25,2016-08-25,1,YES,NO,29.85
7,Individual,0,N2H,2013-06-28,2014-07-28,2,YES,YES,0
8,Family,0,N3A,2014-12-22,2015-06-30,4,YES,YES,150
9,Family,1,N2H,2019-03-15,2020-03-08,8,YES,YES,130
10,Dual,0,N2K,2015-12-31,2018-02-15,22,YES,YES,156.1
11,Individual,0,N2J,2016-02-25,2016-02-25,1,YES,YES,28.05
12,Individual,0,N2G,2019-07-02,2019-11-16,3,YES,YES,0
13,Family,0,N2A,2013-06-28,2018-03-16,1,YES,YES,38.95
14,Individual,0,N2M,2019-12-11,2020-02-19,5,YES,YES,51.95
15,Teacher,0,NULL,2018-03-15,2019-07-25,3,YES,NO,53.75
16,Family,0,N2L,2013-12-28,2014-12-30,14,YES,YES,97.25
17,Family,0,N2M,2017-01-13,2017-02-09,2,YES,YES,150
18,Dual,0,N2M,2013-06-28,2017-10-24,32,YES,YES,304.95
19,Individual,0,N2E,2014-01-12,2015-01-31,3,YES,YES,25.05
19,Dual,0,N2E,2015-06-30,2016-03-09,5,YES,YES,29.98
20,Dual,0,N2L,2015-12-02,2016-12-31,16,YES,YES,70
21,Family,0,N2B,2014-02-17,2014-11-28,6,YES,YES,79.15
22,Student,0,N2N,2016-02-28,2016-12-03,4,YES,YES,0
23,Dual,0,N0B,2016-12-27,2018-09-08,4,YES,YES,128.1
24,Individual,0,N2G,2013-09-02,2015-05-06,17,YES,NO,141.35
25,Dual,0,N2J,2014-01-31,2015-01-16,5,NO,NO,70
26,Family,0,N2M,2013-06-28,2016-08-30,15,YES,YES,405
27,Dual,0,N0B,2013-07-10,2015-03-08,2,YES,YES,81.95
28,Dual,0,N2J,2015-09-13,2019-06-15,20,YES,YES,1553.96
29,Dual,0,N2A,2014-09-13,2014-09-13,1,YES,YES,49.1
30,Individual,0,N0B,2016-02-14,2016-12-31,7,YES,NO,28.05
31,Teacher,0,NULL,2019-03-13,2019-03-13,1,YES,NO,7
32,Family,0,N2L,2019-03-10,2019-10-25,3,YES,YES,0
33,Family,0,N2K,2013-07-21,2014-08-18,5,YES,YES,173.3
34,Dual,0,N3C,2014-02-09,2014-07-31,3,NO,YES,70
35,Student,0,N2T,2016-06-30,2016-06-30,1,YES,YES,495
36,Individual,0,N2A,2020-10-30,2020-10-30,1,YES,YES,45
37,Individual,0,N2A,2013-06-28,2014-01-23,2,YES,YES,0
38,Student,0,N0J,2014-03-02,2015-12-28,15,YES,YES,27
39,Dual,0,N2P,2013-07-10,2013-08-03,1,YES,NO,0
40,Family,0,N2H,2013-06-28,2020-02-01,26,YES,YES,531.45
41,MAD Social,0,N2G,2016-01-12,2019-09-27,12,YES,YES,493.3
42,Teacher,0,NULL,2018-03-16,2019-01-25,2,YES,NO,0
43,Dual,0,N2R,2016-07-01,2016-08-11,2,YES,YES,110
44,Dual,0,N1H,2014-02-01,2014-12-14,6,YES,NO,78.95
45,Teacher,0,NULL,2016-11-26,2016-11-26,1,YES,NO,20.9
46,Teacher,0,NULL,2019-03-30,2019-05-10,1,YES,NO,9.95
47,Teacher,0,NULL,2017-02-20,2017-02-20,1,YES,NO,29.95
48,Teacher,0,NULL,2017-03-17,2017-03-17,1,YES,NO,0
49,Teacher,0,NULL,2018-12-27,2018-12-27,1,YES,NO,56.85
50,Teacher,0,NULL,2019-03-12,2019-03-12,1,YES,NO,23.9
51,Dual,0,N1T,2013-11-05,2020-02-05,3,YES,YES,800
52,Individual,0,N2E,2017-03-09,2018-01-20,4,YES,YES,56.95
53,Teacher,0,NULL,2017-02-18,2018-08-16,2,YES,NO,32.85
54,Family,0,N2L,2013-06-28,2014-04-09,7,YES,YES,470.29
55,Dual,0,M1J,2019-09-20,2020-02-15,2,YES,YES,52.1
56,Individual,0,NULL,2017-11-19,2019-03-30,10,NO,NO,23.9
57,Individual,0,N1T,2019-12-28,2020-01-25,3,YES,YES,31.05
58,Dual,0,N2T,2016-02-28,2020-02-23,19,YES,YES,285
59,Individual,0,N2J,2014-01-16,2014-11-22,5,NO,YES,53.45
60,Family,0,N1E,2013-09-22,2014-09-07,4,YES,YES,120
61,Individual,0,N2A,2014-07-14,2015-08-05,5,YES,YES,88.45
62,Individual,0,N2N,2015-04-01,2016-08-30,6,YES,YES,76
63,Family,0,N2M,2013-06-28,2016-06-08,1,YES,YES,0
64,Teacher,0,NULL,2018-08-26,2019-01-20,1,YES,NO,9.95
65,Teacher,0,NULL,2018-08-23,2018-08-23,1,YES,NO,0
66,Dual,0,NZT,2016-04-22,2019-03-22,10,YES,YES,211.01
67,Dual,0,N2G,2014-12-10,2016-11-26,11,YES,YES,133
68,Family,0,N2G,2013-06-28,2014-01-08,1,YES,YES,0
69,Family,0,N2L,2017-10-25,2017-10-14,5,YES,YES,240
70,Teacher,0,NULL,2017-02-22,2017-02-22,1,YES,NO,0
71,Family,0,N2M,2019-04-20,2019-04-20,1,YES,YES,150
72,Teacher,0,NULL,2019-08-18,2019-08-18,1,YES,NO,19.9
73,Family,0,N2J,2013-06-28,2013-07-19,2,YES,YES,5.42
74,Individual,0,NULL,2014-02-16,2014-03-02,2,NO,NO,40
75,Family,0,N2H,2013-06-28,2016-05-07,1,YES,YES,0
76,Family,0,N2L,2019-03-15,2020-02-12,5,YES,YES,100
77,Family,0,N2K,2013-06-28,2013-09-02,3,YES,YES,0
78,Individual,0,N2T,2018-05-31,2019-02-18,8,YES,NO,51.98
79,Individual,0,H1W,2018-03-28,2019-03-11,3,YES,YES,72.9
80,Dual,0,N2K,2013-06-28,2014-12-19,4,YES,YES,0
81,Dual,1,N2C,2019-12-22,2020-02-05,5,YES,YES,110
82,Teacher,0,NULL,2018-08-09,2019-07-02,4,NO,NO,64.34
83,Teacher,0,NULL,2019-08-08,2019-08-08,1,YES,NO,9.95
84,Dual,0,N2E,2016-03-05,2016-12-11,7,YES,YES,37.15
85,Family,0,N2N,2014-08-18,2014-08-18,1,YES,YES,99.1
86,Dual,0,N2L,2015-05-31,2016-05-29,16,NO,YES,94.39
87,Individual,1,N2M,2018-11-07,2020-02-13,14,YES,YES,162.3
88,Individual,0,N2G,2018-07-18,2020-01-24,37,YES,YES,78.5
89,Individual,0,N2H,2015-10-23,2016-09-25,19,YES,YES,28.05
90,Family & Friends,0,N2L,2017-11-26,2018-11-11,51,YES,YES,1060.53
91,Dual,0,N3C,2019-04-05,2020-03-01,9,YES,YES,117.85
92,Dual,0,N2K,2015-06-28,2015-06-28,1,YES,YES,49.1
93,Family,0,N2N,2013-10-20,2014-09-13,6,YES,YES,90.1
94,Dual,0,N2H,2017-05-14,2020-03-15,42,YES,YES,193.94
95,Dual,0,N2M,2015-06-26,2016-06-30,13,YES,YES,97.24
96,Dual,0,N2H,2015-04-11,2018-02-09,7,YES,YES,135.85
96,Dual,0,N2H,2019-03-03,2020-01-12,4,YES,YES,103.9
97,Family,0,N2J,2019-05-05,2019-06-16,5,YES,YES,193
98,Teacher,0,NULL,2016-08-10,2017-02-05,2,YES,NO,0
99,Family,0,NULL,2015-10-03,2016-04-17,3,NO,NO,117.15
100,Individual,0,N2G,2014-05-22,2015-11-23,6,YES,YES,92.45
101,Dual,0,N2K,2018-01-27,2018-02-19,2,YES,YES,87.15
102,Dual,0,N2C,2019-08-30,2019-11-16,4,YES,YES,80
103,Teacher,0,NULL,2017-02-09,2017-02-08,1,YES,NO,5
104,Dual,0,N2N,2017-03-16,2018-03-31,4,YES,YES,0
105,Individual,0,N2G,2020-02-28,2020-02-28,1,YES,NO,31.05
106,Individual,0,N2J,2016-12-03,2018-11-14,6,YES,YES,85
107,55 & Better,1,N2V,2019-02-23,2019-08-17,6,YES,YES,65
108,Individual,0,N2L,2017-12-22,2018-12-16,7,YES,YES,202.9
109,Individual,0,N2G,2017-02-11,2017-03-29,4,YES,YES,52.46
110,Family,0,N2P,2017-10-25,2018-02-22,82,YES,YES,365.29
111,Teacher,0,NULL,2018-08-23,2018-08-23,1,YES,NO,0
112,Individual,0,N1E,2018-06-27,2019-03-07,10,YES,YES,76.95
113,Family,0,N1E,2016-04-03,2019-03-23,14,YES,YES,306.49
114,Dual,0,N2H,2020-01-04,2020-11-01,9,YES,YES,80
115,Family,0,N2M,2015-02-15,2019-05-05,26,YES,YES,958.37
116,Individual,0,N2G,2019-11-22,2019-12-13,2,NO,YES,45
117,Dual,0,N2J,2019-11-10,2020-08-01,7,YES,YES,72.79
118,Family,0,N2H,2019-12-30,2020-12-30,5,YES,YES,150
119,Family & Friends,0,N2E,2019-03-12,2020-02-07,8,YES,YES,-47.8
120,Family,0,N2H,2013-06-28,2013-07-30,1,YES,YES,10.95
121,Dual,0,N2M,2013-06-28,2014-07-20,5,YES,YES,11.95
122,Family,0,N2E,2014-10-05,2020-08-05,53,YES,YES,429.1
123,Teacher,0,NULL,2014-08-01,2014-08-01,1,YES,NO,0
124,Dual,0,N2B,2013-08-02,2014-06-21,3,YES,YES,323.33
125,Teacher,0,NULL,2018-03-24,2018-12-27,1,YES,NO,0
126,Family,0,N2A,2018-09-29,2020-09-04,8,YES,YES,237.95
127,Family,0,N1C,2019-01-27,2019-12-08,4,YES,YES,171.65
128,Dual,0,N2B,2013-07-10,2014-12-18,9,YES,YES,63
129,Dual,0,N3H,2015-12-16,2016-03-15,3,YES,YES,103.33
130,Family,0,N2M,2018-01-27,2020-07-15,19,YES,YES,343.68
131,Individual,0,N26,2016-07-12,2017-07-21,2,YES,YES,740
132,Family,0,NULL,2017-10-25,2017-02-03,1,NO,NO,390
133,Teacher,0,NULL,2017-01-28,2020-03-04,21,YES,NO,63
134,Dual,0,N1G,2014-03-22,2014-05-23,3,YES,YES,55.05
135,Family,0,N2H,2018-03-16,2020-01-02,12,YES,YES,272.85
136,Individual,0,N2N,2020-03-12,2020-03-14,2,YES,YES,58.95
137,Dual,0,N2B,2017-05-06,2018-02-04,11,YES,YES,276.9
138,Family,0,N2H,2013-08-13,2017-02-19,69,YES,YES,663.6
139,Family,0,N2A,2017-11-24,2018-02-21,14,YES,YES,660.67
140,Teacher,0,NULL,2017-07-18,2017-07-18,1,YES,NO,26.85
141,Dual,0,K0K,2015-12-04,2017-03-16,1,YES,YES,110
142,Family,0,N2E,2017-10-25,2018-11-07,7,NO,YES,234
143,Dual,0,N2G,2013-06-28,2014-12-31,14,YES,YES,299.36
144,Individual,0,N2E,2015-03-15,2016-01-07,5,YES,YES,62.9
145,Teacher,0,NULL,2017-02-20,2018-03-15,2,YES,NO,46.75
146,Dual,0,N2E,2017-01-22,2017-11-05,2,YES,YES,70
147,Dual,1,N2H,2015-02-16,2020-02-27,138,YES,YES,447.68
148,Teacher,0,NULL,2017-11-04,2019-11-23,3,NO,NO,0
149,Dual,0,N2A,2015-07-29,2016-08-17,22,YES,YES,55.55
149,Family,0,N2A,2017-12-07,2020-03-08,27,YES,YES,376.18
150,Family,0,N2J,2017-03-17,2020-03-05,17,YES,YES,107.05
151,55 & Better,0,N2J,2016-05-26,2019-04-14,6,YES,NO,65
152,Dual,0,N1T,2018-11-11,2019-10-09,8,YES,NO,95.4
153,Dual,0,N2V,2015-01-31,2015-04-22,5,YES,YES,70
154,Family,0,N2J,2016-07-10,2017-03-26,5,YES,YES,150
155,Family,0,N2H,2014-02-09,2015-01-03,8,YES,YES,79.15
